순번,과목명,담당교수,성적부여,평점,과제,조모임,학점 비율,출결,시험 횟수,추천수,리뷰
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,수업 강의 내내 교수님께서 강의 내용에 벗어난 말씀을 많이 하시긴 하지만 나름 난 재밌었던것 같아! 일단 시험은 강의보다는 책 위주로 특히 세세한 부분까지 잘 봐둬야하는걸 추천할게!!
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,1,과제는 나에 대한 글쓰기 한 번 크게 있구요. 매주 간단한 출석 과제 있었어요. 수업은 다른 말씀 엄청 많이 하셔서 제대로 들은 적은 없지만 좋은 말씀 많이 해주시는 것 같았어요! 시험은 책 그대로 나오니까 책만 몇 번 정독하시면 시험 잘 보실 수 있어요. 책 잘 외울 수 있는 분들한테 추천드려요. 책 내용도 꽤 재밌어서 공부하기 괜찮습니당. 꿀강!
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,1,강의 열심히 들어도 시험은 책에서 나오더라구요 ... 책보세요
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,많이들 추천해서 수강했는데 저는 잘 모르겠네여... 시험도 어디서 나올 지 몰라요....
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,"좋았다고 하기도 별로라하기도 뭐한... 유학썰 잔뜩 듣고, 좋은 말 많이 해주시기는 하는데 중요한건 시험공부랑은 연관이 없어요. 말이 자꾸 새요 ㅠ 시험공부는 제가 책 보면서 따로 하는게 훨훨훨 괜찮음 매번 강의 듣고 그날 내야하는 간단한 과제 , 레포트쓰는 과제 하나 있었어용 시험은 오픈북이라 ㄱㅊ았음"
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,1,자기 썰 푸시는게 대부분입니다. 시험은 책보고 보심이 좋을듯 해요.
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,무언가를 지식적으로 배우고 싶으시면 다른 강의 들으시는게 좋을거 같아요
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,4,너무사담을많이하시고 핵심이 뭔지 잘 모르겠는 수업입니다.
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,지식을 얻고싶으시면 다른과목 수강신청하세요 이 과목 자체가 딱히 지식은 얻어갈게없는 과목입니다. 근데 교재를 보면 본인이 쓰신교재라 그런지 상당히 편향적이고 어딘가 보면서 불편한 부분이 있습니다
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,1,가볍게 들을 수 있지만 얻어가는건 없는 수업. 아직도 시대착오적이고 성차별적인 사고를 가지고 계십니다.
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,1,"지식보다는 지혜를 늘린다는 것이 더 알맞은 수업인 것 같습니다. 그만큼 과목이 현실과 와닿는 과목이고 , 딱딱할수 있는 이론을 교수님의 이야기를 섞어서 해주시기때문에 이론보다 이야기수업같습니다. 좋아요"
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,가볍게 듣기좋은 교양 같습니다 교수님관련이야기 많이해주십니다
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,1,대학교 4년 다니면서 들었던 수업 중에 가장 좋았어요. 우선 내용 측면에서 콘텐츠가 있으면서도 지혜가 참 많은 수업이었어요. 이 수업이 실제로 학교밖에 있으면 저희 가족과 같이 듣고 싶을 정도였어요. 평생 살면서 필요한 삶의 지혜를 많이 배우고 가네요. 수업 들을 동안 행복했었습니다.
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,4,일단 같은 이름의 교수님이 2명이신거 같음 (동명이인) 내가 들은 교수님은 짬 되게 높으신 교수님임. 시험은 밑이 글대로 책 외워야함 난 막학기라 그렇게 공부하고 싶지 않아서 성적은 잘 못받앗으나 후회는 없음 왜냐하면 진짜 좋은 말씀 많이 해주심(별점 5점이유) 사실 셤도 어렵진 않으나 어디서 나올지가 모르는게 함정. 마지막 말씀이 기억에 남네요. 위기가 오면 인생이 내게 도전하는 것이고 변하지 않으면 기회를 놓친다. 이강의는 성적을 떠나 녹음해서 두고두고 들어도 후회없을 강의.
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,1,교수님 인생이야기가 개인적으로 너무 좋았어요!! 배울점이 많은 수업이었어요! 하지만 시험공부는 달달외워야해서 교양수업치고 힘이들었어요 ㅠㅠ
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,교수님 이야기 풀어주는게 거의 대부분을 차지함
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,교수님 썰 재밌습니다 나름 들을 만 해요! 추천이요
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,1,좋았음. 교수님이 인생에 대해서 말씀해주시는데 진리를 느낌.
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,수업시간에 자도됨 썰만 계속풀어서 근데 시험공부할때 개빡셈 책을 그냥 달달달 외워야하눈기분 독학으로 외우는 기분임
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,교수님 열정이 가득하신분이시라 수업은 유익합니다. 다만 중간중간 삼천포로 빠지셔요
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,무난하고 편한 교양 그러나 남녀갈등이 심한지금 필수로 들어야할 교양같음
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,교수님은 참 좋으신 분. 다만 강의력이 좋은지는 모르겠다. 자꾸 다른 얘기로 새고 며느리 얘기 하심. 그리고 출석을 마지막에 불러서 늦게 오는 사람들 많음. 시험 정말 쉽고 교수님 학점 잘 주심!
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,교수님 우선 성품이 매우 좋으신 분이고 유용한 정보를 많이 알려주셔서 좋았어요 하지만 사적인 애기가 좀 많아서 흐름이 깨진적이 많아요... 시험은 어렵지않고 배운거에서 다 나왔어요.
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,강의시간에 교수님 얘기를 많이하셔서 집중하기 힘들었어요..시험은 피피티보면서 책에 밑줄친거 위주로 보면서 외우면 될듯
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,다른 얘기 하시는데 듣다보면 수업내용이랑 연관됨. 시험은 중간 기말 두번으로 책 전부 외우면 됨.
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,1,수업시간 절반 이상 자기 이야기 하심 책 통째로 외울 수 있는 사람만 수강하셈 문제 내도 책 구석에 있는 내용만 시험에 내고 시험 공지도 제대로 안해서 중간고사때 오늘 시험보는 지도 몰랐던 사람 많음
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,수업은 다른 분들이 말씀하셨듯 교수님께서 썰을 푸시는 게 대부분이에요. 그런데 그 이야기들이랑 수업 내용이 잘 연결되서 이해하기 더 편했어요. 또 졸거나 대답 안하는거 안좋아하셔서 약간 고등학교 수업 같기는 했어요. 과제는 그냥 자기 얘기 쓰는 거라 편하게 쭉 써내려가면 될 것 같고 시험은 그냥 책 한 권을 통째로 외운다고 생각하면 편할 것 같아요. 교수님이 교재를 집필하셔서 그런가 정말 구석에서도 나와요. 생각보다 강조한 곳에서 잘 안나왔어요.
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,좋지만 좋지 않은 강의..? 교수님 자체는 재밌으시고 좋지만 피피티에만 있고 교과서에는 없는 내용이 많아서 사진찍느라 바빴음.. 게다가 시험문제는 지나치게 구석에서나옴.. 아래 사람들 말처럼 책 통째로 외울 수 있는 사람만 수강하길 ㅠ
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,지정좌석제고 출석을 하루에 3번 하세요 시험은 ox퀴즈랑 단답형 간단히서술 길게서술 이렇게내시고 문제는 진짜 책에있는거 달달 외우면 되지만 전 3시간도 안보고 시험치게 되더라고요ㅎ 과제는 나에대해 쓰는거 한번밖에 안내주셨고 성적반영 커요 수업은 진도를 나가시다가도 어느새보면 교수님 경험담얘기하고 계셨고 두번정도는 영화를 봤어요 교양으론 한번쯤 들을만한 수업이었던거 같아요
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,원하는 자리 선택해서 그자리로 쭉 가구요! 시험 정말 세세하게 나와서 책을 정독하시는 것이 좋은 것 같아요! 중간중간 영화도 보여주시고 영상도 보여주십니다 3시간 수업이지만 점심먹고 하라고 2시간 30정도만 수업하세요! 교수님은 정말 좋으신분입니당! 중간에 쉬는시간있고 부담스럽지 않아요!
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,과제는 1버ㆍ 어렵진 않고. 수업은 ppt위주로 예시로 나가는데 시험은 책에서 엄청 세세하거 나와요 단게 10개씩 있는거 서술하기
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,1,"강의자체는 인생에 도움되는 내용이지만 인생에 도움되는 자기경험 얘기하시느라 교재진도를 안나가서 시험볼때 책한권 달달외워가야함.(문제도 교재에 나오는 문장갖다써놓고 우리보고 맞추라고 빈칸뚤어놓음 주관식으로, OX퀴즈있는데 이건 명제풀듯이 말꼬아놓는게 몇개있고 논술형이 두개나오지만 뭐가나오는지 아얘안알려주셔서 그냥 책에나오는 수십가지의 이론들을 그냥 달달달 외워야됨. 뭐가 중요하다 진짜 아주 가끔씩 본인 썰풀다 갑자기 알려주시는 경우가있어서 진짜 중요한줄알고(애초에 교재로진도를나가는게아닌 본인의 Ssul을 열심히푸셔서...) 체크 열심히하고 열심히외웠는데 시험에 아얘 안나옴 출첵도 그냥건성건성하시는듯  총평:꿀교양은 맞으나 학점딸려고들을꺼면 다른교양알아보세요... 나는 책한권을 중간기말 나눠서 반반씩 통째로 외울수있다! 이런분들에게는 추천합니다."
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,수업도 다양한 자료를 사용해서 하시고 교양다운 수업이었습니다
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,자기이야기많이하는데 듣다보면 재밌고 도움되는거같음
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,일주일에 한번씩 마음을 다잡을 수 있는 수업. 이정도는 공부하고 결혼해야겠다고 반성하게되는 수업.
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,교수님 본인에 대한 얘기 하시다 중간중간 ppt로 수업하십니다. 시험은 책만 열심히 외우면 되고 레포트 쓰는 과제 한 번 있습니다.
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,일단 교수님 자기 얘기하시는게 수업의 대부분이에요. 근데도 저는 교수님 자체가 괜찮으신 분이라 생각했고 다른 수업도 들어보고 싶었어요. 시험같은거는 책만 보시면 알 수 있고 가끔 수업 때 따로 언급하신 책에 없는 내용도 시험에 나오는데 못써도 상관없어요. 저도 못썼고 전날 공부해서 시험봤는데도 대형강의라 그런지 시험 잘 못봐도 성적은 잘 주시는거 같아요.
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,책으로 수업안하시는데 책이 필요함 교수님 경험담같은거많이알려주시고 교양으로 나쁘지않음
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,교수님이 자기얘기를 많이 하시고 책으로 수업을 하시지 않습니다.
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,"수업은 재미있고 교수님 tmi 대잔치 ㅎㅎ.. 시험문제 대충 집어주는 것도 없고 수업하는 것 같은데 정신차려보면 수업내용이랑 무관한 이야기 하고계심,, 책으로 수업하는 건 없고 ppt수업인데 ppt공유는 안하심. 틈틈히 필기하고 책 밑줄 쳐야 시험 칠수있음 시험 문제는 어렵지는 않지만 무조건 책 달달 외워야함"
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,범위가 많은데 문제를 집어주시지 않음. 책은 그저 시험 공부용
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,"우선 교수님이 수업시간에 굉장히 이야기를 많이 해주셔서 인생의 교훈(?)같은 걸 배울 수 있고, 틈틈히 피피티도 같이 사용하시면서 진도 나가십니다. 수업시간은 보통 20-30분 일찍 마쳐주시고, 출석은 지정좌석으로 체크하십니다. 딱히 별로인건 없어서 교양으로 괜찮은것같습니다!"
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,"교수님 좋으신 분인건 알겠는데 초반에 진도도 안나가고 계속 딴 얘기 하시고, 수업 관련된 내용이 하나도 없어서.. 진짜 별로였다가 나중가선 익숙해졌는지 재밌었어요 ㅋㅋㅋ 근데 시험이 예상외로 어려웠습니다.. 시험 전날에 책 한 번 읽고 시험봤는데 비제로 나온거 보니까 학점은 잘 주시는 것 같아요"
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,결가가 그냥 듣고 싶었는데 시간 맞는걸로 넣었었어요. 사람들마다 교수님 호불호가 갈리던데 저는 그냥 수업 듣는내내 교수님 얘기는 재밌게 들었고 솔직히 들으면서 어느부분이 중요한지 잘 모르겠어서 시험범위 내의 내용을 다 공부했습니다. 그래서 a0나왔습니다. 시험보면서 생각한건 생각보다 중요하지 않은부분같은데? 였습니다. 수업시간엔 교수님이 살아오신 얘기 많이 해주세요. 나름 재밌어요!
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,시험은 교과서 외우면 되고 수업때 중요하게 설명하신 부분에서 나와요 수업은 취향타는 것 같은데 저는 굉장히 좋았습니다
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,시험은 책 외우면 되고요 레포트도 어렵지 않아요 ㅎㅎ 정말 대학수업 같은 교양이에요 이것저것 유익한 정보 많이 알려쥬시고 미래에 대해 생각해 볼 수 있는 시간을 갖게 해주눈 수업이에요 교수님이 대학시절 얘기 등 예시로 다양한 스토리 풀어주시는 데 너무 재밌어요^^그리고 가끔 영화나 동영상 보여주셔서 너무 좋아요~><
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,교수님 은근 매력있으셔서 진짜 정석 교양강의 같아요! 딱 뭔가를 배운다기 보다는 이것저것 생각할 수 있는 강의에요. 시험은 그냥 책 암기...?
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,수업이 재미가 없어서 안 듣게 됩니다. 폰을 만지기 제일 좋지만 맨날 뭐라고 하셔서 눈치 보이는 수업입니다. 숙제는 간편하고 시험도 쉬우며 학점도 공부 안 한 것 치고는 엄청 좋게 주시지만 수업을 듣기 힘들어 꿀교양은 아닌 것 같습니다. 수업이 엄청 지루합니다. 대신 영상 틀어주거나 영화 보여줄 때도 있어서 한 번쯤은 들을 만한 수업입니다.
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,저는 책에 있는내용말고 경험담이랑 미디어위주로 수업해서 좋았어요! 물론 시험은 책에서 나오지만 많이 어렵지도 않고 ox문제랑 그래프 또는 표 그리기 등 적당히 공부하면 다들 좋은점수 받는 정도의 시험이에요!
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,시험은 주관식. 오엑스 서술형 섞여있고 약간 책만 보면 다 쓸 수 있어요! 수업은 저는 사실 별 재미없었어용. 교수님이 강의에 자부심도 많으시고 열정이 있으세요. 영화나 영상도 가끔 보여주시고 들을만 합니다. 시험 진짜 못본줄알았는데 에이쁠 맞았어요. 레포트는 주제 있고 그 내용 몇가지 쓰는건데 쉬워요!
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,"이 과목과 자신에 대해 많은 자부심을 갖고 있으십니다 수업을 하는 중 많은 이야기를 해주시는데 듣다보면 어느순간 수업으로 돌아가있습니다 시험문제는 OX, 단답식, 서술형 이고 중간기말 같은 방식으로 봅니다 참고로 책에 나와 있는 그림이나 표를 도식화하는 문제가 많이 나옵니다"
10004,결혼과가족,김영희,Grade,3.66,보통,없음,비율 채워줌,지정좌석,두 번,0,"결혼과 가족 과목에 대한 자부심이 많으신 분입니다. 실제로 대단하신 분은 맞는 것 같으나 수업 방식은 저와 맞지 않았습니다. 과목 특성상 그럴 수도 있는 것 같은데 무엇을 가르쳐 주시는 건지 잘 모르겠습니다. 사설이 많으신데 수업과 관련없다고 생각해서 안 듣고 있는데 어느순간 수업내용으로 넘어온 것같은, 그런 강의를 많이 하십니다. 주로 화이트보드에 필기를 하셨는데 날려쓰셔서 못 알아볼 정도 입니다. 하지만 교수님은 좋으신 분 입니다. 시험은 중간고사 기말고사 둘 다 비슷한 유형으로 단답식, 오엑스, 서술식이 이었습니다. 과제는 분량 제한 없이 어린시절/초등학생/중고등학생/미래 나에게 영향을 미친 인물과 사건에 대해 쓰는 것 이었습니다. 공부를 조금만 해도 높은 점수를 받을 수 있는 과목인 것 같습니다. 인원 수도 많다보니 공부를 많이 하지 않았음에도 상대적으로 좋은 점수를 주셨습니다."
10005,결혼과가족,김대광,Grade,3.9,보통,없음,비율 채워줌,지정좌석,두 번,0,목소리 나긋나긋하게 잘 설명해주시고 출석과제랑 레포트 한번 쓰는데 어렵지 않은 과제였어요~ 전반적으로 만족스러운 교양!
10005,결혼과가족,김대광,Grade,3.9,보통,없음,비율 채워줌,지정좌석,두 번,0,좋으신 분임!! 매주마다 강의주제에 대한 토론글 다는게 의아하지만 과제 1번이고 시험 2번보면 개꿀 과목임ㅋㅋ 친근하고 친절하고 수업 재밌음 학점도 후하게 주시고 이분한테 전공 수업듣고 싶을 정도로 좋아여
10005,결혼과가족,김대광,Grade,3.9,보통,없음,비율 채워줌,지정좌석,두 번,0,인생에 있어서 한번쯤은 꼭 들으면 좋을 과목입니다 조금은 관련된 학과학생이라 그런지몰라도 강의가 진심으로 와닿았고 교수님께서 강의 정말 잘해주셔서 좋았어요 비대면이라 정말 아쉬웠기도하고 강의영상 중간에 다큐영상??같은거 잠깐 들어가있을때도있는데 개인적으로 그거보고 감동받거나 울었던적도있습니다ㅜㅜ 매시간 출결용 자기생각올리는거랑 퀴즈1문제정도의 과제가 나가는데 부담 전혀안돼요 한 5분도 안걸려요 그리고 레포트 쓰는게 있었는데 어렵지도않고 너무너무 재밌었어요 중간 기말도 굉장히 쉬운편이고 성실하게 했으면 부담전혀안돼요 저는 A쁠받았고 불가능하지만 해당교수님한테 이과목수업 2학기때 한번 더 듣고싶을정도네요... 정말 유익한 수업이였습니다
10005,결혼과가족,김대광,Grade,3.9,보통,없음,비율 채워줌,지정좌석,두 번,0,비대면으로 진행됐는데 설명도 친절하게 해주시고 강의 영상에서 보여주시는 자료들도 좋았습니다! 과제는 레포트 쓰는 거 한 번 있었고 부담스럽지 않았어요!
10005,결혼과가족,김대광,Grade,3.9,보통,없음,비율 채워줌,지정좌석,두 번,0,강의 내용이 정말 재밌고 공대생인 저에겐 힐링인 과목이었습니다~
10005,결혼과가족,김대광,Grade,3.9,보통,없음,비율 채워줌,지정좌석,두 번,0,스스로의 인생에 대해 생각해볼수 있는 과제라 하기 전엔 스트레스 받아도 하다보면 재밌고 다른 일반 레포트들보다 술술 적힘. 수업잘들으면 성적 잘나옴. 가끔 이름 불러서 질문하실 때 있어요 근데 부담되는 질문은 아니고 아주 가벼운 질문이에요! 지루할 수도 있긴한데 그래도 은근 배우는게 많은 과목이라 좋았어요.
10005,결혼과가족,김대광,Grade,3.9,보통,없음,비율 채워줌,지정좌석,두 번,0,교수님이 설명도 잘해주시고 친절하셨음. 시험난이도는 어렵지않은데 양이 정말 많음. 전부다 외워야함. 그래도 수업시간에 가끔 찝어준거 나오니까 수업듣는거 권장함.
10005,결혼과가족,김대광,Grade,3.9,보통,없음,비율 채워줌,지정좌석,두 번,0,"쉬는시간 한 번이고 2시간 20~30분 정도 강의하십니다. 강의 자체는 무난하고 영상도 봅니다, 가끔 팀활동을 하긴 하는데 전부 수업시간에 일시적으로 이루어지는 거고 조별과제는 없습니다. 과제는 한 번 제출하는데 복잡한 것은 아닙니다. 다만 시험범위가 방대하고 세세한 것에서도 나오다보니 암기량이 많습니다..교수님이 찝어주시긴 해요."
10005,결혼과가족,김대광,Grade,3.9,보통,없음,비율 채워줌,지정좌석,두 번,0,강의내용은 정말 유익했습니다. 교수님 강의력도 좋으셔서 집중이 힘들진 않았습니다. 가끔 주위에 앉은분들과 짧게 토론하는 시간이 있었지만 조별과제는 아니어서 부담없이 할 수 있었습니다. 지정좌석으로 진행되고 과제는 레포트형식으로 어렵지 않게 내셨습니다. 시험도 공부한 만큼 나오는것 같아요.
10005,결혼과가족,김대광,Grade,3.9,보통,없음,비율 채워줌,지정좌석,두 번,0,강의 정말 재미있어요. 과제와 조모임 한번씩 있었고 옆에 앉은 사람과 토의도 해서 어색했지만 시험도 무난하고 재미있어서 A 받았습니다.
10005,결혼과가족,김대광,Grade,3.9,보통,없음,비율 채워줌,지정좌석,두 번,0,3시간 풀강하세요 그리고 지루합니다 가끔 영상 보여주실 때도 있어요 시험은 찝어주셔서 어렵진 않은데 다 열심히 공부해서 학점 잘 안 나옵니다
